_id,SL No,Ward No,Ward Name,Bus Stops,LATITUDE,LONGITUDE
162,162,Outside BBMP Limits,Outside BBMP Limits,"Channegowdana Doddi,CHANNE GOWDANA DODDI,BESIDE GOVERNMENT PRIMARY SCHOOL",12.806869,77.428738
163,163,Outside BBMP Limits,Outside BBMP Limits,"Talaguppe,THALAKUPPE,NEAR PARVATHI TEMPLE",12.81163388,77.43333455
164,164,Outside BBMP Limits,Outside BBMP Limits,"Hampapura,HAMPAPURA,IN FRONT OF GOVERNMENT PRIMARY SCHOOL",12.830678,77.428973
165,165,Outside BBMP Limits,Outside BBMP Limits,"Shanumangala,SHYANUMANGALA,IN FRONT OF ANGANAVADI",12.794946,77.431471
166,166,Outside BBMP Limits,Outside BBMP Limits,"Gollarapalya,GOLLARAPALYA,OPPOSITE OF GOVERNMENT PRIMARY SCHOOL",12.801455,77.425421
167,167,Outside BBMP Limits,Outside BBMP Limits,Hakki Pikki Colony,12.844583,77.399973
168,168,Outside BBMP Limits,Outside BBMP Limits,"Kempaiahanapalya,KEMPAIAHANA PALYA,BESIDE GOVT.HIGHER PRIMARY SCHOOL",12.720297,77.429365
169,169,Outside BBMP Limits,Outside BBMP Limits,"Karenahalli,IN FRONT OF ANJANEYA TEMPLE",12.818118,77.365728
170,170,Outside BBMP Limits,Outside BBMP Limits,"Avaragere Cross,BIDADI,IN FRONT OF S.L.N.PUBLIC SCHOOL",12.801544,77.384278
172,172,Outside BBMP Limits,Outside BBMP Limits,"Parasanapalya,IN FRONT OF ASHWATHA KATTE",12.79921,77.437477
173,173,Outside BBMP Limits,Outside BBMP Limits,"Bychohalli,OPPOSITE OF SRI RAMA TEMPLE",12.806332,77.438143
174,174,Outside BBMP Limits,Outside BBMP Limits,"Thippuru,OPPOSITE OF PRIMARY SCHOOL",12.815303,77.441228
175,175,Outside BBMP Limits,Outside BBMP Limits,"Lingapura,NEAR ANGANAVADI KENDRA",12.821629,77.444104
176,176,Outside BBMP Limits,Outside BBMP Limits,"Seegehalli Cross,BESIDE OPEN AREA(HUNASEMARA)",12.82549,77.449302
177,177,Outside BBMP Limits,Outside BBMP Limits,"Gonipura,GONIPURA,BESIDE GOVERNMENT SCHOOL",12.832526,77.451045
178,178,Outside BBMP Limits,Outside BBMP Limits,"Gollahalli,K.GOLLAHALLI,NEAR MANDALA PANCHAYAT OFFICE",12.843306,77.45142
179,179,Outside BBMP Limits,Outside BBMP Limits,"Eradu kamba Gonipura,K.GOLLAHALLI,BESIDE OPEN AREA",12.849134,77.451271
180,180,Outside BBMP Limits,Outside BBMP Limits,"Nalku kamba,GUDIMAVU VILLAGE,BESIDE SRI LAKSHMI PROVISION STORE",12.855737,77.452689
181,181,Outside BBMP Limits,Outside BBMP Limits,"Devagere Cross,DEVAGERE CROSS,IN FRONT OF THARUN IYENGAR BAKERY",12.86431,77.45695
182,182,Outside BBMP Limits,Outside BBMP Limits,"Thagachuguppe,TAGACHAGUPPE,OPPOSITE OF SRI MANJUNATH STORES",12.866775,77.455024
183,183,Outside BBMP Limits,Outside BBMP Limits,"Anchipura Colony,ANCHIPURA COLONY,IN FRONT OF GOVERNMENT MIDDLE SCHOOL",12.767421,77.438883
184,184,Outside BBMP Limits,Outside BBMP Limits,"Anchipura,ANCHIPURA,IN FRONT OF MILK DAIRY",12.769881,77.432165
185,185,Outside BBMP Limits,Outside BBMP Limits,"Jogana Palya,JOGANAPALYA,OPPOSITE OF GOVERNMENT PRIMARY SCHOOL",12.781086,77.43928
186,186,Outside BBMP Limits,Outside BBMP Limits,"Anchipura Cross,CHIKKA KUNTANAHALLI,NEAR ASHWATHA KATTE",12.79017,77.441179
187,187,Outside BBMP Limits,Outside BBMP Limits,"Shanumangala Cross,IN FRONT OF VEERANJANEYA TEMPLE",12.792137,77.438623
